player_name,position,rating,formation
G. Donnarumma,Goalkeeper,7.268,3-5-2
A. Hakimi,Defender,7.324,3-5-2
Marquinhos,Defender,7.247619,3-5-2
L. Hernández,Defender,7.114814,3-5-2
Vitinha,Midfielder,7.457142,3-5-2
Danilo Pereira,Midfielder,7.153846,3-5-2
Lee Kang-In,Midfielder,7.145454,3-5-2
M. Ugarte,Midfielder,7.132,3-5-2
Fabián Ruiz,Midfielder,7.061904,3-5-2
Kylian Mbappé,Forward,7.917241,3-5-2
O. Dembélé,Forward,7.326923,3-5-2
