fixture_id,team,player_id,player_name,position,grid,is_starter
1029862,Paris Saint Germain,1622.0,G. Donnarumma,G,1:1,1
1029862,Paris Saint Germain,9.0,A. Hakimi,D,2:4,1
1029862,Paris Saint Germain,257.0,Marquinhos,D,2:3,1
1029862,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1
1029862,Paris Saint Germain,33.0,L. Hernández,D,2:1,1
1029862,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,3:3,1
1029862,Paris Saint Germain,128384.0,Vitinha,M,3:2,1
1029862,Paris Saint Germain,927.0,Lee Kang-In,M,3:1,1
1029862,Paris Saint Germain,153.0,O. Dembélé,F,4:3,1
1029862,Paris Saint Germain,278.0,K. Mbappé,F,4:2,1
1029862,Paris Saint Germain,161904.0,B. Barcola,F,4:1,1
1029862,Paris Saint Germain,21104.0,R. Kolo Muani,F,0-0,0
1029862,Paris Saint Germain,746.0,Marco Asensio,F,0-0,0
1029862,Paris Saint Germain,307835.0,Beraldo,D,0-0,0
1029862,Paris Saint Germain,41585.0,Gonçalo Ramos,F,0-0,0
1029862,Paris Saint Germain,731.0,K. Navas,G,0-0,0
1029862,Paris Saint Germain,930.0,Carlos Soler,M,0-0,0
1029862,Paris Saint Germain,1146.0,N. Mukiele,D,0-0,0
1029862,Paris Saint Germain,381.0,Danilo Pereira,M,0-0,0
1029862,Paris Saint Germain,51494.0,M. Ugarte,M,0-0,0
1029862,Toulouse,325346.0,G. Restes,G,1:1,1
1029862,Toulouse,371916.0,C. Mawissa Elebi,D,2:4,1
1029862,Toulouse,70476.0,M. Diarra,D,2:3,1
1029862,Toulouse,15793.0,R. Nicolaisen,D,2:2,1
1029862,Toulouse,11421.0,G. Suazo,D,2:1,1
1029862,Toulouse,36868.0,S. Spierings,M,3:2,1
1029862,Toulouse,50956.0,C. Cásseres,M,3:1,1
1029862,Toulouse,39115.0,A. Dønnum,M,4:3,1
1029862,Toulouse,163076.0,César Gelabert,M,4:2,1
1029862,Toulouse,48491.0,V. Sierro,M,4:1,1
1029862,Toulouse,93016.0,T. Dallinga,F,5:1,1
1029862,Toulouse,55319.0,N. Skyttä,M,0-0,0
1029862,Toulouse,174724.0,F. Magri,F,0-0,0
1029862,Toulouse,264383.0,W. Kamanzi,D,0-0,0
1029862,Toulouse,322929.0,I. Cissoko,F,0-0,0
1029862,Toulouse,36928.0,D. Genreau,M,0-0,0
1029862,Toulouse,47351.0,Álex Domínguez,G,0-0,0
1029862,Toulouse,20867.0,Y. Begraoui,F,0-0,0
1029862,Toulouse,385351.0,N. Lahmadi,M,0-0,0
1029862,Toulouse,302622.0,K. Keben,D,0-0,0
1030305,Paris Saint Germain,1622.0,G. Donnarumma,G,1:1,1
1030305,Paris Saint Germain,9.0,A. Hakimi,D,2:4,1
