player_name,team,league,age,position,appearances,starts,minutes,goals,assists,shots_total,shots_on,passes_total,passes_key,pass_accuracy,tackles,interceptions,blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,player_id,rating,duels_won_pct,xg_proxy,performance_score,fatigue_index,defensive_impact,anomaly_z,is_anomaly
Nico Schlotterbeck,Dortmund,Bundesliga,23,Defender,20,20,1734,3,0.21,0.67,0.21,64.6,0.57,85.5,2.38,1.14,1.4,0.57,0.36,0.52,0.62,0.16,0.0,2230,7.734,0.6316,0.15,0.5743,0.9633,1.714,1.3353,0
Jeffrey Schlupp,Crystal Palace,Premier League,30,Midfielder,22,19,1630,1,0.0,0.88,0.33,27.3,0.33,76.4,2.32,1.1,1.55,1.77,0.77,1.16,1.99,0.28,0.0,2231,7.468,0.435,0.045454545454545456,0.4775,0.8232,1.723,0.1571,0
Kasper Schmeichel,Nice,Ligue 1,36,Goalkeeper,21,21,1890,0,0.0,0.0,0.0,25.8,0.05,75.2,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,2232,7.376,0.0,0.0,0.3717,1.0,0.03,-1.1306,0
Romano Schmid,Werder Bremen,Bundesliga,23,Midfielder,15,10,943,0,0.19,0.86,0.0,33.1,1.24,74.2,1.71,0.57,1.71,2.76,0.86,1.24,0.86,0.1,0.0,2233,7.379,0.3116,0.0,0.4321,0.6985,1.368,-0.3954,0
Niklas Schmidt,Werder Bremen,Bundesliga,24,Midfielder,12,4,502,1,0.0,1.61,0.54,36.8,0.89,75.2,2.86,0.18,1.07,3.04,2.14,1.43,1.61,0.18,0.0,2234,7.467,0.7039,0.08333333333333333,0.5402,0.4648,1.519,0.9202,0
Benno Schmitz,Köln,Bundesliga,28,Defender,18,17,1393,1,0.0,0.32,0.06,32.3,0.77,62.4,2.32,0.9,1.35,0.45,0.06,0.77,1.23,0.13,0.0,2235,7.406,0.1333,0.05555555555555555,0.3903,0.8599,1.603,-0.9042,0
Jerdy Schouten,Bologna,Serie A,26,Midfielder,17,13,1158,0,0.08,0.31,0.08,37.4,0.54,82.7,2.09,1.71,2.02,1.55,0.62,1.16,1.09,0.16,0.0,2236,7.411,0.4,0.0,0.4677,0.7569,1.955,0.0378,0
Perr Schuurs,Torino,Serie A,23,Defender,16,15,1200,0,0.15,0.53,0.08,36.8,0.3,85.9,2.03,1.28,0.83,0.38,0.15,0.15,1.73,0.3,0.0,2237,7.425,0.3947,0.0,0.4735,0.8333,1.445,0.1084,0
Marvin Schwabe,Köln,Bundesliga,27,Goalkeeper,19,19,1710,0,0.0,0.0,0.0,33.0,0.0,79.7,0.0,0.11,0.0,0.0,0.0,0.05,0.0,0.0,0.0,2238,7.398,0.0,0.0,0.3813,1.0,0.033,-1.0137,0
Alexander Schwolow,Schalke 04,Bundesliga,30,Goalkeeper,17,17,1530,0,0.0,0.06,0.0,25.0,0.06,66.7,0.0,0.06,0.0,0.0,0.0,0.24,0.0,0.06,0.0,2239,7.33,0.0,0.0,0.3533,1.0,0.018,-1.3545,0
Demba Seck,Torino,Serie A,22,Midfielder,10,5,361,0,0.0,1.75,0.5,20.3,1.25,73.6,1.25,0.25,0.75,5.0,2.5,3.5,1.0,0.0,0.0,2240,7.368,0.5,0.0,0.4682,0.4011,0.8,0.0439,0
Haris Seferovi?,Celta Vigo,La Liga,30,Midfielder,1,0,27,0,0.0,0.0,0.0,16.7,3.33,45.5,3.33,0.0,3.33,6.67,6.67,3.33,0.0,0.0,0.0,2241,7.228,1.0,0.0,0.5078,0.3,2.331,0.5259,0
Jacopo Segre,Torino,Serie A,25,Defender,1,0,21,0,0.0,0.0,0.0,40.0,0.0,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2242,7.444,0.0,0.0,0.4011,0.2333,0.0,-0.7727,0
Paul Seguin,Union Berlin,Bundesliga,27,Midfielder,13,3,440,1,0.61,1.22,0.41,31.4,2.04,69.4,2.04,0.0,0.82,1.43,0.41,0.41,2.04,0.82,0.0,2243,7.449,0.2867,0.07692307692307693,0.4427,0.3761,1.062,-0.2664,0
Alidu Seidu,Clermont Foot,Ligue 1,22,Defender,20,20,1753,0,0.0,0.26,0.05,41.3,0.31,84.6,1.85,1.9,1.03,2.26,1.13,2.56,1.28,0.31,0.0,2244,7.408,0.5,0.0,0.4914,0.9739,1.619,0.3263,0
Davie Selke,Hertha BSC,Bundesliga,28,Forward,13,3,282,1,0.32,1.61,0.97,13.2,1.29,60.3,0.65,0.32,0.97,1.29,0.32,1.94,2.26,0.32,0.0,2245,7.408,0.2481,0.07692307692307693,0.4155,0.241,0.647,-0.5975,0
Davie Selke,Köln,Bundesliga,28,Forward,4,1,122,0,0.0,0.0,0.0,10.7,0.0,48.4,0.0,0.0,1.43,0.71,0.0,1.43,0.71,0.0,0.0,2246,7.242,0.0,0.0,0.3141,0.3389,0.429,-1.8316,0
Matz Sels,Strasbourg,Ligue 1,30,Goalkeeper,22,22,1980,0,0.0,0.0,0.0,18.5,0.05,68.8,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.09,0.0,2247,7.34,0.0,0.0,0.3578,1.0,0.063,-1.2997,0
Nelson Semedo,Wolves,Premier League,29,Defender,20,15,1272,0,0.07,0.21,0.0,38.3,0.5,80.2,3.12,1.06,1.56,1.63,0.57,0.99,1.63,0.35,0.07,2248,7.374,0.3497,0.0,0.4516,0.7067,2.034,-0.1581,0
