player_name,team,league,age,position,appearances,starts,minutes,goals,assists,shots_total,shots_on,passes_total,passes_key,pass_accuracy,tackles,interceptions,blocks,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,yellow_cards,red_cards,player_id,rating,duels_won_pct,xg_proxy,performance_score,fatigue_index,defensive_impact,anomaly_z,is_anomaly,z_rating,z_performance_score,z_goals,z_pass_accuracy,z_defensive_impact,anomaly_score,anomaly_type
Sadio Mané,Bayern Munich,Bundesliga,30,Forward,14,12,906,6,0.3,3.86,1.68,20.2,1.19,72.6,0.5,0.0,0.99,3.66,1.88,1.68,1.19,0.1,0.0,1533,7.979,0.5137,0.4285714285714285,0.6159,0.719,0.497,1.8416,0,2.2626,1.8416,2.4693,-0.2204,-0.7846,1.5157,Surperformance
Orel Mangala,Nott'ham Forest,Premier League,24,Midfielder,14,10,693,0,0.0,0.78,0.13,28.8,0.26,80.4,1.69,1.3,1.04,2.6,0.91,1.56,1.17,0.13,0.0,1534,7.396,0.35,0.0,0.4527,0.55,1.378,-0.1447,0,-0.3269,-0.1447,-0.5103,0.3745,0.1325,0.2978,Normal
Thomas Mangani,Ajaccio,Ligue 1,35,Midfielder,18,9,895,1,0.1,0.61,0.0,45.1,2.22,67.8,1.92,2.12,1.31,0.51,0.3,0.71,2.02,0.3,0.0,1535,7.431,0.5882,0.0555555555555555,0.4928,0.5525,1.797,0.3433,0,-0.1714,0.3433,-0.0137,-0.5864,0.5687,0.3367,Normal
Vito Mannone,Lorient,Ligue 1,34,Goalkeeper,9,8,798,0,0.0,0.0,0.0,21.5,0.0,68.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536,7.344,0.0,0.0,0.3577,0.9852,0.0,-1.301,0,-0.5578,-1.301,-0.5103,-0.5178,-1.3019,0.8378,Normal
Javier Manquillo,Newcastle Utd,Premier League,28,Defender,1,0,11,0,0.0,0.0,0.0,40.0,0.0,57.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1537,7.286,0.0,0.0,0.3328,0.1222,4.0,-1.604,0,-0.8155,-1.604,-0.5103,-1.4024,2.862,1.4388,Attention
Myziane Maolida,Reims,Ligue 1,23,Forward,1,0,19,0,0.0,0.0,0.0,25.0,0.0,45.5,5.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,1538,7.228,1.0,0.0,0.5078,0.2111,2.0,0.5259,0,-1.0731,0.5259,-0.5103,-2.287,0.78,1.0353,Attention
Myziane Maolida,Hertha BSC,Bundesliga,23,Midfielder,3,1,95,0,0.0,0.0,0.0,7.27,0.91,53.3,0.91,0.0,0.0,3.64,1.82,0.0,0.91,0.0,0.0,1539,7.266,0.5,0.0,0.4246,0.3519,0.364,-0.4867,0,-0.9043,-0.4867,-0.5103,-1.6922,-0.923,0.9033,Normal
Faitout Maouassa,Montpellier,Ligue 1,24,Defender,20,14,1191,1,0.3,1.14,0.38,24.2,1.29,68.5,2.42,0.98,1.67,2.42,0.76,1.21,1.44,0.0,0.0,1540,7.464,0.314,0.05,0.4387,0.6617,1.763,-0.3151,0,-0.0249,-0.3151,-0.0137,-0.533,0.5333,0.284,Normal
Sekou Mara,Southampton,Premier League,20,Midfielder,14,3,327,0,0.28,3.89,0.56,11.1,1.11,71.4,2.78,0.0,1.11,4.72,1.94,1.11,3.33,0.0,0.0,1541,7.377,0.411,0.0,0.4463,0.2595,1.445,-0.2226,0,-0.4113,-0.2226,-0.5103,-0.3119,0.2023,0.3317,Normal
Maranhão,Valencia,La Liga,26,Midfielder,15,3,428,1,0.0,3.54,0.42,8.33,0.63,67.8,0.83,0.0,0.83,3.54,1.88,2.5,1.88,0.42,0.21,1542,7.376,0.5311,0.0666666666666666,0.4831,0.317,0.581,0.2253,0,-0.4157,0.2253,-0.0137,-0.5864,-0.6971,0.3876,Normal
