fixture_id,team,player_id,player_name,position,grid,is_starter,match_importance,recent_form,result,performance_score,fatigue_index,defensive_impact,anomaly_z,rating,pass_accuracy,duels_won_pct,goals,assists,minutes,appearances,is_goalkeeper,is_defender,is_midfielder,is_forward
1029862,Paris Saint Germain,1622.0,G. Donnarumma,G,1:1,1,0.5084745762711864,0.7333,W,0.3323,0.9644,0.3,0.7026,7.268,0.0,0.5714285714285714,0.0,0.0,2170.0,25.0,1,0,0,0
1029862,Paris Saint Germain,1622.0,G. Donnarumma,G,1:1,1,0.5084745762711864,0.7333,W,0.4115,1.0,0.4,1.068,7.05,0.0,1.0,0.0,0.0,360.0,4.0,1,0,0,0
1029862,Paris Saint Germain,1622.0,G. Donnarumma,G,1:1,1,0.5084745762711864,0.7333,W,0.3774,1.0,0.4,0.9107,7.025,0.0,0.8333333333333334,0.0,0.0,1080.0,12.0,1,0,0,0
1029862,Paris Saint Germain,1622.0,G. Donnarumma,G,1:1,1,0.5084745762711864,0.7333,W,0.0,0.8778,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,316.0,4.0,1,0,0,0
1029862,Paris Saint Germain,9.0,A. Hakimi,D,2:4,1,0.5084745762711864,0.7333,W,0.4785,0.8582,16.4,1.377,7.324,61.0,0.44390243902439025,4.0,5.0,1931.0,25.0,0,1,0,0
1029862,Paris Saint Germain,9.0,A. Hakimi,D,2:4,1,0.5084745762711864,0.7333,W,0.4908,1.0,0.8,1.4337,7.833333,70.0,0.5789473684210527,0.0,1.0,270.0,3.0,0,1,0,0
1029862,Paris Saint Germain,9.0,A. Hakimi,D,2:4,1,0.5084745762711864,0.7333,W,0.4584,0.9929,11.6,1.2843,7.263636,64.0,0.4260869565217391,1.0,1.0,983.0,11.0,0,1,0,0
1029862,Paris Saint Germain,9.0,A. Hakimi,D,2:4,1,0.5084745762711864,0.7333,W,0.0,0.5622,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,253.0,5.0,0,1,0,0
1029862,Paris Saint Germain,257.0,Marquinhos,D,2:3,1,0.5084745762711864,0.7333,W,0.4949,0.8143,18.4,1.4527,7.247619,80.0,0.5875,0.0,1.0,1539.0,21.0,0,1,0,0
1029862,Paris Saint Germain,257.0,Marquinhos,D,2:3,1,0.5084745762711864,0.7333,W,0.5005,0.9611,3.8,1.4785,7.325,88.0,0.5238095238095238,0.0,0.0,346.0,4.0,0,1,0,0
1029862,Paris Saint Germain,257.0,Marquinhos,D,2:3,1,0.5084745762711864,0.7333,W,0.4734,1.0,13.1,1.3535,7.13,72.0,0.5774647887323944,0.0,1.0,900.0,10.0,0,1,0,0
1029862,Paris Saint Germain,257.0,Marquinhos,D,2:3,1,0.5084745762711864,0.7333,W,0.0,0.5022,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,226.0,5.0,0,1,0,0
1029862,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1,0.5084745762711864,0.7333,W,0.0,0.7917,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,285.0,4.0,0,1,0,0
1029862,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1,0.5084745762711864,0.7333,W,0.4618,0.7519,16.2,1.3,6.895833,72.0,0.5545454545454546,0.0,0.0,1624.0,24.0,0,1,0,0
1029862,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1,0.5084745762711864,0.7333,W,0.207,0.1667,0.3,0.1246,6.9,0.0,0.0,0.0,0.0,15.0,1.0,0,1,0,0
1029862,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1,0.5084745762711864,0.7333,W,0.0,0.0,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0
1029862,Paris Saint Germain,198.0,M. Škriniar,D,2:2,1,0.5084745762711864,0.7333,W,0.5254,0.9981,7.2,1.5934,7.166666,77.0,0.5319148936170213,1.0,0.0,539.0,6.0,0,1,0,0
1029862,Paris Saint Germain,33.0,L. Hernández,D,2:1,1,0.5084745762711864,0.7333,W,0.4625,0.7885,30.4,1.3032,7.114814,57.0,0.6195652173913043,1.0,1.0,1916.0,27.0,0,1,0,0
1029862,Paris Saint Germain,33.0,L. Hernández,D,2:1,1,0.5084745762711864,0.7333,W,0.4852,1.0,1.3,1.4079,7.05,94.0,0.42857142857142855,0.0,0.0,180.0,2.0,0,1,0,0
1029862,Paris Saint Germain,33.0,L. Hernández,D,2:1,1,0.5084745762711864,0.7333,W,0.4454,0.8505,6.9,1.2243,6.727272,51.0,0.5714285714285714,1.0,0.0,842.0,11.0,0,1,0,0
1029862,Paris Saint Germain,33.0,L. Hernández,D,2:1,1,0.5084745762711864,0.7333,W,0.0,0.55,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,198.0,4.0,0,1,0,0
1029862,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,3:3,1,0.5084745762711864,0.7333,W,0.4264,0.8385,27.3,1.1367,7.053846,49.0,0.46846846846846846,2.0,3.0,1962.0,26.0,0,0,1,0
1029862,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,3:3,1,0.5084745762711864,0.7333,W,0.3782,0.82,4.0,0.9143,6.86,44.0,0.4222222222222222,0.0,1.0,369.0,5.0,0,0,1,0
1029862,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,3:3,1,0.5084745762711864,0.7333,W,0.4041,0.9141,8.4,1.0338,7.081818,42.0,0.4020618556701031,1.0,3.0,905.0,11.0,0,0,1,0
1029862,Paris Saint Germain,336657.0,W. Zaïre-Emery,M,3:3,1,0.5084745762711864,0.7333,W,0.0,0.7278,0.0,-0.8302,0.0,0.0,0.0,0.0,0.0,262.0,4.0,0,0,1,0
1029862,Paris Saint Germain,128384.0,Vitinha,M,3:2,1,0.5084745762711864,0.7333,W,0.5105,0.8448,25.8,1.5246,7.457142,58.0,0.4789473684210526,7.0,4.0,2129.0,28.0,0,0,1,0
